SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,13695,33863,21702,910,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,13086,33232,21949,910,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,12324,32951,22362,910,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,11486,32781,22674,910,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,10672,32560,23017,760,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,9995,32516,23361,740,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,9347,32541,23719,670,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,8749,32562,24022,610,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,8249,32711,24339,570,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,7910,32882,24764,640,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,7593,32985,25310,750,TRUE,,,,
EndFrame,,,,,,,,,
SetLocation,-13076.17179,-1671.669064,5849.33032,,,,,,
SetRotation,-0.573465,0,-0.81923,-0.034067,0.999135,0.023847,0.818522,0.041585,-0.572969
EditSphere,11316,33600,23032,830,TRUE,,,,
EndFrame,,,,,,,,,
